Arrival_Departure,Domestic_International,FlightType,Passenger_Count
Departure,Domestic,Scheduled Carriers,2136741
Arrival,Domestic,Scheduled Carriers,1937004
Arrival,Domestic,Scheduled Carriers,2191036
Departure,Domestic,Scheduled Carriers,2190502
Arrival,Domestic,Scheduled Carriers,2330822
Arrival,Domestic,Scheduled Carriers,2177422
Departure,Domestic,Scheduled Carriers,2069030
Arrival,Domestic,Scheduled Carriers,2199323
Departure,Domestic,Scheduled Carriers,2173006
Arrival,Domestic,Scheduled Carriers,2078646
Departure,Domestic,Scheduled Carriers,2046103
Arrival,Domestic,Scheduled Carriers,2078123
Arrival,Domestic,Scheduled Carriers,2070175
Departure,Domestic,Scheduled Carriers,2297160
Departure,Domestic,Scheduled Carriers,1748990
Departure,Domestic,Scheduled Carriers,1837665
Departure,Domestic,Scheduled Carriers,1225517
Departure,Domestic,Scheduled Carriers,1772516
Arrival,Domestic,Scheduled Carriers,2217273
Arrival,Domestic,Scheduled Carriers,1978632
Arrival,Domestic,Scheduled Carriers,2680159
Departure,Domestic,Scheduled Carriers,2293791
Departure,Domestic,Scheduled Carriers,1728114
Arrival,Domestic,Scheduled Carriers,1671966
Departure,Domestic,Scheduled Carriers,2559884
Departure,Domestic,Scheduled Carriers,2459135
Arrival,Domestic,Scheduled Carriers,1808012
Arrival,Domestic,Scheduled Carriers,1598923
Arrival,Domestic,Scheduled Carriers,2538167
Departure,Domestic,Scheduled Carriers,1381873
Departure,Domestic,Scheduled Carriers,2224644
Departure,Domestic,Scheduled Carriers,2453034
Arrival,Domestic,Scheduled Carriers,2328248
Arrival,Domestic,Scheduled Carriers,2483310
Departure,Domestic,Scheduled Carriers,2444395
Departure,Domestic,Scheduled Carriers,2663000
Arrival,Domestic,Scheduled Carriers,2131719
Departure,Domestic,Scheduled Carriers,1685571
Arrival,Domestic,Scheduled Carriers,1786166
Departure,Domestic,Scheduled Carriers,1714979
Departure,Domestic,Scheduled Carriers,1748443
Arrival,Domestic,Scheduled Carriers,2084826
Departure,Domestic,Scheduled Carriers,2445911
Arrival,Domestic,Scheduled Carriers,680546
Departure,Domestic,Scheduled Carriers,1408990
Arrival,Domestic,Scheduled Carriers,1608760
Arrival,Domestic,Scheduled Carriers,1763255
Departure,Domestic,Scheduled Carriers,2591582
Departure,Domestic,Scheduled Carriers,2841512
Arrival,Domestic,Scheduled Carriers,1676063
Arrival,Domestic,Scheduled Carriers,2664937
Arrival,Domestic,Scheduled Carriers,2006038
Departure,Domestic,Scheduled Carriers,1608378
Departure,Domestic,Scheduled Carriers,2397205
Departure,Domestic,Scheduled Carriers,2292345
Arrival,Domestic,Scheduled Carriers,2434761
Arrival,Domestic,Scheduled Carriers,2013007
Departure,Domestic,Scheduled Carriers,1498073
Arrival,Domestic,Scheduled Carriers,1971711
Arrival,Domestic,Scheduled Carriers,2488790
Departure,Domestic,Scheduled Carriers,1739572
Arrival,Domestic,Scheduled Carriers,1922648
Arrival,Domestic,Scheduled Carriers,123754
Arrival,Domestic,Scheduled Carriers,1174382
Departure,Domestic,Scheduled Carriers,2577576
Departure,Domestic,Scheduled Carriers,2450580
Departure,Domestic,Scheduled Carriers,1815540
Arrival,Domestic,Scheduled Carriers,2517515
Arrival,Domestic,Scheduled Carriers,2088757
Departure,Domestic,Scheduled Carriers,2140203
Departure,Domestic,Scheduled Carriers,2071211
Arrival,Domestic,Scheduled Carriers,2286154
Departure,Domestic,Scheduled Carriers,1848219
Arrival,Domestic,Scheduled Carriers,2212112
Arrival,Domestic,Scheduled Carriers,1540311
Arrival,Domestic,Scheduled Carriers,747084
Arrival,Domestic,Scheduled Carriers,2549170
Arrival,Domestic,Scheduled Carriers,1370309
Departure,Domestic,Scheduled Carriers,1951175
Arrival,Domestic,Scheduled Carriers,2467565
Departure,Domestic,Scheduled Carriers,2481537
Arrival,Domestic,Scheduled Carriers,2430539
Arrival,Domestic,Scheduled Carriers,1645661
Arrival,Domestic,Scheduled Carriers,1879821
Departure,Domestic,Scheduled Carriers,1549714
Departure,Domestic,Scheduled Carriers,1814885
Departure,Domestic,Scheduled Carriers,2728966
Arrival,Domestic,Scheduled Carriers,1704934
Arrival,Domestic,Scheduled Carriers,1674668
Departure,Domestic,Scheduled Carriers,2408764
Departure,Domestic,Scheduled Carriers,1803655
Arrival,Domestic,Scheduled Carriers,665591
Departure,Domestic,Scheduled Carriers,2222106
Arrival,Domestic,Scheduled Carriers,2393019
