DEPARTURES_SCHEDULED,DEPARTURES_PERFORMED,SEATS,AIRLINE_ID,CARRIER_NAME,CARRIER_GROUP,CARRIER_GROUP_NEW,YEAR,MONTH
54.0,52.0,2600.0,20046,Air Wisconsin Airlines Corp,2,2,2024,1
16.0,15.0,750.0,20046,Air Wisconsin Airlines Corp,2,2,2024,1
90.0,88.0,4400.0,20046,Air Wisconsin Airlines Corp,2,2,2024,4
125.0,116.0,5800.0,20046,Air Wisconsin Airlines Corp,2,2,2024,1
32.0,27.0,1350.0,20046,Air Wisconsin Airlines Corp,2,2,2024,1
16.0,14.0,700.0,20046,Air Wisconsin Airlines Corp,2,2,2024,1
45.0,42.0,2100.0,20046,Air Wisconsin Airlines Corp,2,2,2024,1
31.0,29.0,1450.0,20046,Air Wisconsin Airlines Corp,2,2,2024,1
31.0,29.0,1450.0,20046,Air Wisconsin Airlines Corp,2,2,2024,3
31.0,29.0,1450.0,20046,Air Wisconsin Airlines Corp,2,2,2024,3
31.0,29.0,1450.0,20046,Air Wisconsin Airlines Corp,2,2,2024,1
31.0,29.0,1450.0,20046,Air Wisconsin Airlines Corp,2,2,2024,1
15.0,14.0,700.0,20046,Air Wisconsin Airlines Corp,2,2,2024,1
57.0,50.0,2500.0,20046,Air Wisconsin Airlines Corp,2,2,2024,1
31.0,30.0,1500.0,20046,Air Wisconsin Airlines Corp,2,2,2024,1
32.0,31.0,1550.0,20046,Air Wisconsin Airlines Corp,2,2,2024,4
45.0,41.0,2050.0,20046,Air Wisconsin Airlines Corp,2,2,2024,1
44.0,42.0,2100.0,20046,Air Wisconsin Airlines Corp,2,2,2024,1
54.0,51.0,2550.0,20046,Air Wisconsin Airlines Corp,2,2,2024,1
57.0,54.0,2700.0,20046,Air Wisconsin Airlines Corp,2,2,2024,1
44.0,42.0,2100.0,20046,Air Wisconsin Airlines Corp,2,2,2024,1
68.0,58.0,2900.0,20046,Air Wisconsin Airlines Corp,2,2,2024,1
86.0,85.0,4250.0,20046,Air Wisconsin Airlines Corp,2,2,2024,4
60.0,52.0,2600.0,20046,Air Wisconsin Airlines Corp,2,2,2024,1
27.0,26.0,1300.0,20046,Air Wisconsin Airlines Corp,2,2,2024,4
68.0,66.0,3300.0,20046,Air Wisconsin Airlines Corp,2,2,2024,1
27.0,26.0,1300.0,20046,Air Wisconsin Airlines Corp,2,2,2024,4
68.0,66.0,3300.0,20046,Air Wisconsin Airlines Corp,2,2,2024,1
58.0,56.0,2800.0,20046,Air Wisconsin Airlines Corp,2,2,2024,1
57.0,54.0,2700.0,20046,Air Wisconsin Airlines Corp,2,2,2024,1
53.0,50.0,2500.0,20046,Air Wisconsin Airlines Corp,2,2,2024,1
53.0,50.0,2500.0,20046,Air Wisconsin Airlines Corp,2,2,2024,1
22.0,20.0,1000.0,20046,Air Wisconsin Airlines Corp,2,2,2024,1
22.0,20.0,1000.0,20046,Air Wisconsin Airlines Corp,2,2,2024,1
123.0,113.0,5650.0,20046,Air Wisconsin Airlines Corp,2,2,2024,1
6.0,4.0,712.0,19930,Alaska Airlines Inc.,3,3,2024,4
3.0,2.0,356.0,19930,Alaska Airlines Inc.,3,3,2024,1
6.0,4.0,712.0,19930,Alaska Airlines Inc.,3,3,2024,4
6.0,1.0,178.0,19930,Alaska Airlines Inc.,3,3,2024,1
38.0,36.0,5730.0,19930,Alaska Airlines Inc.,3,3,2024,3
20.0,16.0,2848.0,19930,Alaska Airlines Inc.,3,3,2024,3
6.0,1.0,178.0,19930,Alaska Airlines Inc.,3,3,2024,1
6.0,4.0,712.0,19930,Alaska Airlines Inc.,3,3,2024,1
3.0,2.0,318.0,19930,Alaska Airlines Inc.,3,3,2024,4
3.0,2.0,318.0,19930,Alaska Airlines Inc.,3,3,2024,3
6.0,1.0,178.0,19930,Alaska Airlines Inc.,3,3,2024,4
6.0,1.0,178.0,19930,Alaska Airlines Inc.,3,3,2024,4
6.0,4.0,712.0,19930,Alaska Airlines Inc.,3,3,2024,1
6.0,4.0,712.0,19930,Alaska Airlines Inc.,3,3,2024,3
3.0,2.0,356.0,19930,Alaska Airlines Inc.,3,3,2024,1
6.0,5.0,620.0,19930,Alaska Airlines Inc.,3,3,2024,1
69.0,55.0,9790.0,19930,Alaska Airlines Inc.,3,3,2024,1
6.0,4.0,712.0,19930,Alaska Airlines Inc.,3,3,2024,4
20.0,16.0,2848.0,19930,Alaska Airlines Inc.,3,3,2024,2
3.0,2.0,356.0,19930,Alaska Airlines Inc.,3,3,2024,1
51.0,38.0,6764.0,19930,Alaska Airlines Inc.,3,3,2024,2
51.0,37.0,5889.0,19930,Alaska Airlines Inc.,3,3,2024,4
51.0,37.0,5892.0,19930,Alaska Airlines Inc.,3,3,2024,4
51.0,39.0,6942.0,19930,Alaska Airlines Inc.,3,3,2024,1
3.0,2.0,356.0,19930,Alaska Airlines Inc.,3,3,2024,1
38.0,35.0,5580.0,19930,Alaska Airlines Inc.,3,3,2024,3
